2025-11-17 12:01:23,457 | __main__             | INFO     | Logging initialized. Log file: logs\ship_performance_20251117_120123.log
2025-11-17 12:01:23,458 | __main__             | INFO     | Processing Main Engine Excel file: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\ae_shop_trail.xlsx
2025-11-17 12:01:23,458 | __main__             | INFO     | Configuration:
2025-11-17 12:01:23,458 | __main__             | INFO     |   Database: postgresql+psycopg2://Deepa:****@localhost:5432/Aepms_deepa_login
2025-11-17 12:01:23,458 | __main__             | INFO     |   Log Level: INFO
2025-11-17 12:01:23,459 | __main__             | INFO     |   Data Directory: data
2025-11-17 12:01:23,459 | __main__             | INFO     | Validating Main Engine Excel file...
2025-11-17 12:01:23,460 | __main__             | ERROR    | Excel file not found: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\ae_shop_trail.xlsx
2025-11-17 12:01:23,460 | __main__             | WARNING  | ME file invalid, continuing with AE data only
2025-11-17 12:01:23,460 | __main__             | INFO     | Initializing database connection...
2025-11-17 12:01:23,554 | app.database         | ERROR    | ❌ Database connection failed: (psycopg2.OperationalError) connection to server at "localhost" (::1), port 5432 failed: FATAL:  sorry, too many clients already

(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-11-17 12:01:23,555 | __main__             | ERROR    | Failed to initialize database
