2026-03-19 14:03:32,920 | __main__             | INFO     | Logging initialized. Log file: logs\ship_performance_20260319_140332.log
2026-03-19 14:03:32,921 | __main__             | INFO     | Processing Main Engine Excel file: C:\Users\GOKUL\Desktop\WORKPLACE\workplace\Aepms-backend\data\Engine_Performance_Data.xlsx
2026-03-19 14:03:32,922 | __main__             | INFO     | Processing Auxiliary Engine Excel file: C:\Users\GOKUL\Desktop\WORKPLACE\workplace\Aepms-backend\data\ae_shop_trial.xlsx
2026-03-19 14:03:32,922 | __main__             | INFO     | Configuration:
2026-03-19 14:03:32,922 | __main__             | INFO     |   Database: postgresql+psycopg2://gokul:****@localhost:5432/workplace_engine
2026-03-19 14:03:32,923 | __main__             | INFO     |   Log Level: INFO
2026-03-19 14:03:32,923 | __main__             | INFO     |   Data Directory: data
2026-03-19 14:03:32,923 | __main__             | INFO     | Validating Main Engine Excel file...
2026-03-19 14:03:32,924 | __main__             | INFO     | Excel file validated: C:\Users\GOKUL\Desktop\WORKPLACE\workplace\Aepms-backend\data\Engine_Performance_Data.xlsx (41,475 bytes)
2026-03-19 14:03:32,925 | __main__             | INFO     | Validating Auxiliary Engine Excel file...
2026-03-19 14:03:32,926 | __main__             | INFO     | Excel file validated: C:\Users\GOKUL\Desktop\WORKPLACE\workplace\Aepms-backend\data\ae_shop_trial.xlsx (21,047 bytes)
2026-03-19 14:03:32,926 | __main__             | INFO     | Initializing database connection...
2026-03-19 14:03:33,400 | app.database         | INFO     | ✅ Database connection successful!
2026-03-19 14:03:33,401 | app.database         | INFO     | PostgreSQL version: PostgreSQL 17.6 on x86_64-windows, compiled by msvc-19.44.35217, 64-bit
2026-03-19 14:03:33,401 | app.database         | INFO     | Database: workplace_engine
2026-03-19 14:03:33,401 | app.database         | INFO     | User: gokul
2026-03-19 14:03:33,430 | app.database         | INFO     | ✅ All tables created successfully!
2026-03-19 14:03:33,521 | app.database         | INFO     | ✅ Migration applied: added column csr_power_kw to vessel_info
2026-03-19 14:03:33,522 | app.database         | INFO     | ✅ Migration applied: added comment for csr_power_kw
2026-03-19 14:03:33,523 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_start to vessel_info
2026-03-19 14:03:33,524 | app.database         | INFO     | ✅ Migration applied: added comment for barred_speed_rpm_start
2026-03-19 14:03:33,525 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_end to vessel_info
2026-03-19 14:03:33,526 | app.database         | INFO     | ✅ Migration applied: added comment for barred_speed_rpm_end
