2026-04-10 10:01:52,745 | __main__             | INFO     | Logging initialized. Log file: logs\ship_performance_20260410_100152.log
2026-04-10 10:01:52,746 | __main__             | INFO     | Processing Main Engine Excel file: D:\WORKPLACE\Aepms-backend\data\Engine_Performance_Data.xlsx
2026-04-10 10:01:52,746 | __main__             | INFO     | Processing Auxiliary Engine Excel file: D:\WORKPLACE\Aepms-backend\data\ae_shop_trial.xlsx
2026-04-10 10:01:52,747 | __main__             | INFO     | Configuration:
2026-04-10 10:01:52,747 | __main__             | INFO     |   Database: postgresql+asyncpg://postgres:****@localhost:5432/workplace_engine
2026-04-10 10:01:52,747 | __main__             | INFO     |   Log Level: INFO
2026-04-10 10:01:52,752 | __main__             | INFO     |   Data Directory: data
2026-04-10 10:01:52,752 | __main__             | INFO     | Validating Main Engine Excel file...
2026-04-10 10:01:52,753 | __main__             | INFO     | Excel file validated: D:\WORKPLACE\Aepms-backend\data\Engine_Performance_Data.xlsx (41,475 bytes)
2026-04-10 10:01:52,753 | __main__             | INFO     | Validating Auxiliary Engine Excel file...
2026-04-10 10:01:52,754 | __main__             | INFO     | Excel file validated: D:\WORKPLACE\Aepms-backend\data\ae_shop_trial.xlsx (20,997 bytes)
2026-04-10 10:01:52,755 | __main__             | INFO     | Initializing database connection...
2026-04-10 10:01:52,931 | app.database         | INFO     | ✅ Database connection successful!
2026-04-10 10:01:52,931 | app.database         | INFO     | PostgreSQL version: PostgreSQL 16.11, compiled by Visual C++ build 1944, 64-bit
2026-04-10 10:01:52,931 | app.database         | INFO     | Database: workplace_engine
2026-04-10 10:01:52,931 | app.database         | INFO     | User: postgres
2026-04-10 10:01:52,943 | app.database         | INFO     | ✅ All tables created successfully!
2026-04-10 10:01:52,951 | app.database         | INFO     | ✅ Migration applied: added column csr_power_kw to vessel_info
2026-04-10 10:01:52,952 | app.database         | INFO     | ✅ Comment added for csr_power_kw
2026-04-10 10:01:52,952 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_start to vessel_info
2026-04-10 10:01:52,953 | app.database         | INFO     | ✅ Comment added for barred_speed_rpm_start
2026-04-10 10:01:52,954 | app.database         | INFO     | ✅ Migration applied: added column barred_speed_rpm_end to vessel_info
2026-04-10 10:01:52,955 | app.database         | INFO     | ✅ Comment added for barred_speed_rpm_end
2026-04-10 10:01:52,956 | app.database         | INFO     | ✅ Migration applied: widened barometric_pressure_mmh2o to numeric(8,3)
2026-04-10 10:01:52,956 | app.database         | INFO     | ✅ Migration applied: added fo_consumption_mt_hr to monthly_report_header
2026-04-10 10:01:52,957 | app.database         | INFO     | ✅ Migration applied: added fuel_injection_pump_index_mm to monthly_report_header
2026-04-10 10:01:52,957 | app.database         | INFO     | ✅ Migration applied: added exh_temp_cylinder_outlet_ave_c to monthly_report_header
2026-04-10 10:01:52,958 | app.database         | INFO     | ✅ Migration applied: vessel_info.vessel_id set to NULLABLE
2026-04-10 10:01:52,959 | app.database         | INFO     | ✅ Migration applied: added permissions column to users
2026-04-10 10:01:52,959 | app.database         | INFO     | ✅ Migration applied: added password_hash column to users
2026-04-10 10:01:52,959 | app.database         | INFO     | ✅ Migration applied: added created_by column to users
2026-04-10 10:01:52,989 | app.database         | INFO     | 📊 Current table row counts:
2026-04-10 10:01:52,990 | app.database         | INFO     |   role_permissions: 3 rows
2026-04-10 10:01:52,990 | app.database         | INFO     |   me_normal_status: 0 rows
2026-04-10 10:01:52,990 | app.database         | INFO     |   me_warning_alert: 0 rows
2026-04-10 10:01:52,990 | app.database         | INFO     |   me_critical_alert: 0 rows
2026-04-10 10:01:52,990 | app.database         | INFO     |   organizations: 2 rows
2026-04-10 10:01:52,990 | app.database         | INFO     |   users: 0 rows
2026-04-10 10:01:52,991 | app.database         | INFO     |   vessel_info: 8 rows
2026-04-10 10:01:52,991 | app.database         | INFO     |   shop_trial_session: 8 rows
2026-04-10 10:01:52,991 | app.database         | INFO     |   monthly_report_header: 4 rows
2026-04-10 10:01:52,991 | app.database         | INFO     |   baseline_performance_data: 0 rows
2026-04-10 10:01:52,991 | app.database         | INFO     |   vessel_generator: 24 rows
