2025-10-11 16:14:57,061 | __main__             | INFO     | Logging initialized. Log file: logs\ship_performance_20251011_161457.log
2025-10-11 16:14:57,062 | __main__             | INFO     | Processing Main Engine Excel file: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\ae_shop_trial.xlsx
2025-10-11 16:14:57,063 | __main__             | INFO     | Configuration:
2025-10-11 16:14:57,063 | __main__             | INFO     |   Database: postgresql+psycopg2://Deepa:****@localhost:5432/Aepms_deepa_login
2025-10-11 16:14:57,064 | __main__             | INFO     |   Log Level: INFO
2025-10-11 16:14:57,064 | __main__             | INFO     |   Data Directory: data
2025-10-11 16:14:57,065 | __main__             | INFO     | Validating Main Engine Excel file...
2025-10-11 16:14:57,066 | __main__             | INFO     | Excel file validated: D:\Ozellar Project\Aepms-backend\iso-performance-backend\data\ae_shop_trial.xlsx (21,451 bytes)
2025-10-11 16:14:57,067 | __main__             | INFO     | Initializing database connection...
2025-10-11 16:14:57,213 | app.database         | INFO     | ✅ Database connection successful!
2025-10-11 16:14:57,214 | app.database         | INFO     | PostgreSQL version: PostgreSQL 16.10, compiled by Visual C++ build 1944, 64-bit
2025-10-11 16:14:57,214 | app.database         | INFO     | Database: Aepms_deepa_login
2025-10-11 16:14:57,214 | app.database         | INFO     | User: Deepa
2025-10-11 16:14:57,354 | app.database         | INFO     | ✅ All tables created successfully!
2025-10-11 16:14:57,424 | app.database         | INFO     | ✅ Migration applied: widened barometric_pressure_mmh2o to numeric(8,3)
2025-10-11 16:14:57,427 | app.database         | INFO     | ✅ Migration applied: added fo_consumption_mt_hr to monthly_report_header
2025-10-11 16:14:57,428 | app.database         | INFO     | ✅ Migration applied: added fuel_injection_pump_index_mm to monthly_report_header
2025-10-11 16:14:57,429 | app.database         | INFO     | ✅ Migration applied: added exh_temp_cylinder_outlet_ave_c to monthly_report_header
2025-10-11 16:14:57,431 | app.database         | INFO     | ✅ Migration applied: vessel_info.vessel_id set to NULLABLE
2025-10-11 16:14:57,433 | app.database         | INFO     | ✅ Migration applied: added permissions column to users
2025-10-11 16:14:57,434 | app.database         | INFO     | ✅ Migration applied: added password_hash column to users
2025-10-11 16:14:57,435 | app.database         | INFO     | ✅ Migration applied: added created_by column to users
2025-10-11 16:14:57,595 | app.database         | INFO     | 📊 Current table row counts:
2025-10-11 16:14:57,596 | app.database         | INFO     |   role_permissions: 4 rows
2025-10-11 16:14:57,596 | app.database         | INFO     |   vessel_info: 8 rows
2025-10-11 16:14:57,598 | app.database         | INFO     |   shop_trial_session: 8 rows
2025-10-11 16:14:57,598 | app.database         | INFO     |   monthly_report_header: 1 rows
2025-10-11 16:14:57,599 | app.database         | INFO     |   baseline_performance_data: 0 rows
2025-10-11 16:14:57,599 | app.database         | INFO     |   organizations: 2 rows
2025-10-11 16:14:57,599 | app.database         | INFO     |   users: 4 rows
2025-10-11 16:14:57,600 | app.database         | INFO     |   shop_trial_performance_data: 54 rows
2025-10-11 16:14:57,600 | app.database         | INFO     |   monthly_report_details_jsonb: 1 rows
2025-10-11 16:14:57,601 | app.database         | INFO     |   monthly_iso_performance_data: 1 rows
2025-10-11 16:14:57,602 | app.database         | INFO     |   vessel_generator: 0 rows
2025-10-11 16:14:57,602 | app.database         | INFO     |   generator_baseline_data: 0 rows
2025-10-11 16:14:57,602 | app.database         | INFO     |   generator_monthly_report_header: 0 rows
2025-10-11 16:14:57,602 | app.database         | INFO     |   generator_monthly_report_details_jsonb: 0 rows
2025-10-11 16:14:57,603 | app.database         | INFO     |   generator_performance_graph_data: 0 rows
2025-10-11 16:14:57,603 | __main__             | INFO     | Extracting Main Engine data from Excel file...
2025-10-11 16:14:59,199 | app.excel_loader     | INFO     | Loaded Excel file with 2 sheets: ['vessel_generators', 'generator_baseline_data']
2025-10-11 16:14:59,200 | app.excel_loader     | INFO     | Processing sheet: vessel_generators
2025-10-11 16:14:59,200 | app.excel_loader     | WARNING  | Unknown sheet type: vessel_generators
2025-10-11 16:14:59,200 | app.excel_loader     | INFO     | Processing sheet: generator_baseline_data
2025-10-11 16:14:59,201 | app.excel_loader     | WARNING  | Unknown sheet type: generator_baseline_data
2025-10-11 16:14:59,201 | app.excel_loader     | INFO     | Extraction summary: {'vessels': 0, 'sessions': 0, 'performance_data': 0, 'crank_deflections': 0, 'bearing_temperatures': 0, 'monthly_headers': 0, 'monthly_details': 0}
2025-10-11 16:14:59,201 | __main__             | INFO     | Main Engine data extraction summary:
2025-10-11 16:14:59,201 | __main__             | INFO     |   vessels: 0 records
2025-10-11 16:14:59,202 | __main__             | INFO     |   sessions: 0 records
2025-10-11 16:14:59,202 | __main__             | INFO     |   performance_data: 0 records
2025-10-11 16:14:59,202 | __main__             | INFO     |   crank_deflections: 0 records
2025-10-11 16:14:59,202 | __main__             | INFO     |   bearing_temperatures: 0 records
2025-10-11 16:14:59,203 | __main__             | INFO     |   monthly_headers: 0 records
2025-10-11 16:14:59,203 | __main__             | INFO     |   monthly_details: 0 records
2025-10-11 16:14:59,203 | __main__             | WARNING  | No Main Engine data was extracted from the Excel file
